District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
FAYETTE ,,,,,,,,,,,,,,75,76,77,79,79,81,84,,,,,,,,,,,,,,90.2,,
FLEMING ,,,,,,,,,,,,,,79,74,83,80,83,89,93,,,,,,,,,,,,,,93.1,,
FLOYD ,,,,,,,,,,,,,,75,75,79,84,85,84,87,,,,,,,,,,,,,,90.4,,
FT THOMAS,,,,,,,,,,,,,,97,95,96,96,98,98,95,,,,,,,,,,,,,,97.5,,
FRANKFORT,,,,,,,,,,,,,,80,83,94,80,93,90,95,,,,,,,,,,,,,,96.4,,
FRANKLIN ,,,,,,,,,,,,,,78,80,78,84,80,82,87,,,,,,,,,,,,,,92.5,,
FULTON ,,,,,,,,,,,,,,85,80,90,84,88,94,85,,,,,,,,,,,,,,97.6,,
FULTON,,,,,,,,,,,,,,86,83,90,85,94,100,96,,,,,,,,,,,,,,100,,
GALLATIN ,,,,,,,,,,,,,,74,85,89,87,74,89,72,,,,,,,,,,,,,,94.2,,
GARRARD ,,,,,,,,,,,,,,74,84,75,83,79,86,86,,,,,,,,,,,,,,95.2,,
GLASGOW,,,,,,,,,,,,,,79,86,86,87,83,80,80,,,,,,,,,,,,,,92,,
GRANT ,,,,,,,,,,,,,,79,76,79,76,78,82,81,,,,,,,,,,,,,,92.3,,
GRAVES ,,,,,,,,,,,,,,79,79,88,87,85,88,90,,,,,,,,,,,,,,94.8,,
GRAYSON ,,,,,,,,,,,,,,78,90,84,87,84,84,82,,,,,,,,,,,,,,92.2,,
GREEN ,,,,,,,,,,,,,,91,95,94,97,95,97,98,,,,,,,,,,,,,,96.8,,
GREENUP ,,,,,,,,,,,,,,77,79,80,83,85,84,85,,,,,,,,,,,,,,96.2,,
HANCK ,,,,,,,,,,,,,,98,100,98,98,96,97,98,,,,,,,,,,,,,,95.2,,
HARDIN ,,,,,,,,,,,,,,80,81,80,78,83,86,88,,,,,,,,,,,,,,91.3,,
HARLAN ,,,,,,,,,,,,,,75,69,72,70,67,72,78,,,,,,,,,,,,,,90.7,,
HARLAN,,,,,,,,,,,,,,75,92,91,80,86,78,84,,,,,,,,,,,,,,79.5,,
HARRISON ,,,,,,,,,,,,,,88,90,88,92,92,90,89,,,,,,,,,,,,,,94,,
HARRODSBURG,,,,,,,,,,,,,,86,65,87,88,,,,,,,,,,,,,,,,,,,
HART ,,,,,,,,,,,,,,84,83,85,86,78,83,88,,,,,,,,,,,,,,95.5,,
HAZARD,,,,,,,,,,,,,,88,99,100,99,97,100,100,,,,,,,,,,,,,,95.5,,
HENDERSON ,,,,,,,,,,,,,,74,80,81,85,86,82,87,,,,,,,,,,,,,,90.1,,
