AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
156,EMINENCE,"$26,158 ","$27,782 ","$29,373 ","$30,274 ","$30,422 ","$31,362 ","$31,996 ","$33,203 ","$33,700 ","$32,709 ","$33,369 ","$32,950 ","$35,083 ","$36,832","$37,960","$39,983 ","$40,933 ","$42,247 ","$46,412","$45,939","$45,871 ","$44,645 ","$44,740","$45,677","$44,637","$44,210","$44,099 ","$43,888 ","$44,474","$44,869","$44,722","$45,931","$48,184","$48,215","$48,451","$48,621"
157,ERLANGER,"$24,740 ","$26,537 ","$28,510 ","$28,843 ","$29,619 ","$30,391 ","$31,169 ","$32,273 ","$33,024 ","$35,310 ","$35,125 ","$36,335 ","$36,171 ","$37,197","$37,977","$41,045 ","$42,080 ","$42,726 ","$46,286","$46,923","$47,332 ","$45,964 ","$46,603","$47,452","$46,786","$47,618","$47,646 ","$47,511 ","$48,658","$47,753","$48,726","$49,923","$50,976","$52,748","$57,505","$58,211"
161,ESTILL ,"$24,141 ","$26,288 ","$28,800 ","$30,019 ","$30,579 ","$31,569 ","$32,295 ","$33,499 ","$33,442 ","$34,954 ","$35,654 ","$36,441 ","$37,557 ","$38,713","$40,220","$41,759 ","$42,806 ","$43,900 ","$46,738","$47,657","$48,179 ","$47,553 ","$48,995","$48,705","$49,700","$49,827","$49,873 ","$49,511 ","$50,267","$50,111","$50,740","$50,661","$50,508","$51,433","$51,792","$52,286"
162,FAIRVIEW,"$25,692 ","$28,306 ","$29,715 ","$29,504 ","$30,188 ","$30,459 ","$31,495 ","$31,618 ","$32,336 ","$33,903 ","$34,391 ","$34,186 ","$34,774 ","$35,262","$36,638","$36,146 ","$37,541 ","$38,824 ","$43,351","$44,598","$46,455 ","$44,493 ","$44,320","$43,738","$43,892","$44,431","$46,443 ","$45,683 ","$45,405","$46,529","$46,136","$46,063","$48,564","$48,624","$49,482","$52,227"
165,FAYETTE ,"$30,380 ","$33,404 ","$34,379 ","$34,615 ","$34,896 ","$35,227 ","$35,129 ","$35,405 ","$36,293 ","$36,967 ","$37,054 ","$37,859 ","$40,252 ","$41,059","$41,983","$42,923 ","$43,957 ","$44,721 ","$48,374","$49,269","$51,114 ","$52,573 ","$54,842","$56,766","$57,403","$57,458","$58,385 ","$58,915 ","$59,777","$60,235","$60,743","$61,507","$62,634","$64,725","$70,988","$72,039"
171,FLEMING ,"$25,641 ","$28,974 ","$30,636 ","$30,310 ","$31,103 ","$32,069 ","$32,698 ","$33,471 ","$33,628 ","$34,127 ","$35,018 ","$36,149 ","$36,656 ","$37,693","$38,748","$39,282 ","$40,371 ","$41,539 ","$44,909","$45,590","$46,173 ","$46,273 ","$46,736","$47,294","$48,235","$48,863","$49,046 ","$47,921 ","$47,206","$47,481","$47,517","$47,775","$48,635","$48,413","$49,730","$50,792"
175,FLOYD ,"$24,121 ","$28,309 ","$31,514 ","$30,984 ","$30,892 ","$31,740 ","$31,957 ","$33,000 ","$33,474 ","$34,197 ","$35,339 ","$35,443 ","$36,290 ","$37,518","$38,654","$39,900 ","$41,215 ","$43,103 ","$47,224","$46,972","$47,320 ","$47,208 ","$46,874","$47,523","$48,005","$48,893","$49,859 ","$49,538 ","$49,579","$49,550","$49,558","$49,400","$50,218","$51,095","$51,136","$52,689"
176,FT THOMAS,"$28,680 ","$30,836 ","$32,642 ","$33,666 ","$33,706 ","$34,445 ","$34,877 ","$34,859 ","$35,834 ","$36,332 ","$37,305 ","$37,894 ","$39,061 ","$39,717","$43,994","$47,497 ","$49,569 ","$51,115 ","$54,912","$55,692","$56,000 ","$54,773 ","$55,327","$56,305","$57,399","$58,740","$60,147 ","$60,348 ","$61,160","$62,217","$62,598","$65,517","$66,142","$66,155","$68,271","$70,954"
177,FRANKFORT,"$26,053 ","$28,955 ","$29,499 ","$29,728 ","$29,589 ","$29,676 ","$29,735 ","$31,176 ","$32,346 ","$33,889 ","$36,198 ","$36,854 ","$37,706 ","$37,818","$39,079","$40,081 ","$42,033 ","$41,843 ","$45,954","$46,881","$46,949 ","$45,438 ","$44,423","$43,167","$44,093","$45,330","$45,055 ","$45,565 ","$46,976","$46,886","$47,151","$47,812","$49,805","$52,213","$51,053","$53,829"
181,FRANKLIN ,"$25,876 ","$28,206 ","$29,203 ","$29,201 ","$29,665 ","$30,382 ","$31,042 ","$32,051 ","$32,056 ","$32,597 ","$33,597 ","$34,133 ","$34,941 ","$35,900","$37,853","$38,075 ","$39,281 ","$40,008 ","$43,677","$44,221","$45,302 ","$44,261 ","$45,489","$45,295","$46,375","$47,326","$48,873 ","$49,854 ","$50,266","$51,867","$51,418","$52,320","$53,795","$53,799","$55,258","$57,937"
185,FULTON ,"$25,621 ","$28,054 ","$30,353 ","$30,280 ","$30,432 ","$31,043 ","$31,548 ","$32,890 ","$32,687 ","$33,693 ","$35,386 ","$34,875 ","$36,314 ","$36,508","$36,101","$36,409 ","$38,173 ","$38,709 ","$42,107","$41,938","$43,506 ","$43,030 ","$43,254","$43,699","$43,179","$44,769","$45,894 ","$46,279 ","$46,429","$44,884","$46,073","$47,083","$47,306","$47,733","$48,897","$50,744"
186,FULTON,"$25,194 ","$27,232 ","$29,513 ","$29,230 ","$29,403 ","$30,020 ","$29,900 ","$30,479 ","$31,111 ","$32,595 ","$33,903 ","$35,221 ","$34,982 ","$35,960","$39,840","$39,097 ","$37,936 ","$40,608 ","$42,850","$43,413","$44,262 ","$43,759 ","$44,180","$43,113","$42,441","$44,471","$43,512 ","$43,125 ","$41,086","$43,768","$41,793","$42,579","$42,957","$44,285","$46,231","$46,210"
191,GALLATIN ,"$23,302 ","$25,480 ","$26,657 ","$26,127 ","$27,275 ","$28,162 ","$28,839 ","$29,891 ","$30,252 ","$30,600 ","$30,983 ","$31,906 ","$33,797 ","$34,636","$35,595","$36,352 ","$38,123 ","$39,094 ","$42,921","$44,463","$44,999 ","$44,940 ","$45,219","$45,065","$45,853","$46,606","$47,789 ","$47,117 ","$47,252","$47,183","$47,447","$48,647","$49,315","$50,915","$52,893","$55,438"
195,GARRARD ,"$25,154 ","$26,979 ","$28,676 ","$29,282 ","$29,559 ","$30,144 ","$31,164 ","$32,487 ","$33,071 ","$33,834 ","$34,041 ","$34,630 ","$35,394 ","$36,640","$38,111","$39,609 ","$41,375 ","$41,322 ","$45,056","$46,387","$47,164 ","$46,817 ","$47,056","$46,459","$46,873","$47,404","$47,908 ","$47,764 ","$47,871","$48,741","$48,239","$49,408","$49,216","$50,122","$51,689","$54,524"
197,GLASGOW,"$26,656 ","$29,587 ","$31,628 ","$31,616 ","$32,281 ","$33,002 ","$33,499 ","$34,626 ","$35,400 ","$36,469 ","$37,580 ","$38,326 ","$39,240 ","$40,490","$41,866","$42,881 ","$44,954 ","$45,696 ","$49,394","$50,107","$50,887 ","$49,898 ","$49,791","$50,308","$50,664","$50,830","$51,970 ","$51,605 ","$52,170","$52,559","$52,920","$53,947","$54,855","$54,743","$58,416","$61,470"
201,GRANT ,"$24,156 ","$26,778 ","$27,942 ","$28,876 ","$29,399 ","$30,217 ","$29,764 ","$31,448 ","$32,432 ","$32,421 ","$33,039 ","$34,160 ","$36,220 ","$36,690","$37,613","$39,271 ","$40,018 ","$41,784 ","$45,710","$46,519","$46,894 ","$46,339 ","$46,116","$46,883","$47,029","$47,436","$48,491 ","$48,062 ","$47,738","$48,181","$47,538","$47,984","$47,901","$48,101","$48,921","$49,450"
205,GRAVES ,"$25,895 ","$28,326 ","$29,880 ","$29,634 ","$30,256 ","$30,691 ","$31,848 ","$32,851 ","$33,497 ","$34,642 ","$35,037 ","$36,024 ","$37,194 ","$37,437","$38,843","$39,884 ","$40,967 ","$42,694 ","$46,396","$47,004","$47,697 ","$47,000 ","$47,744","$47,671","$47,575","$48,631","$49,494 ","$49,197 ","$49,510","$49,729","$49,146","$50,631","$51,663","$53,051","$53,582","$54,633"
211,GRAYSON ,"$24,971 ","$27,610 ","$29,630 ","$29,587 ","$30,425 ","$30,823 ","$32,456 ","$32,965 ","$33,569 ","$34,439 ","$35,368 ","$35,995 ","$36,723 ","$37,321","$38,357","$39,467 ","$40,964 ","$42,045 ","$45,313","$45,349","$45,364 ","$45,392 ","$46,811","$47,022","$46,970","$47,716","$49,281 ","$49,350 ","$49,357","$49,024","$48,641","$48,427","$49,352","$49,908","$52,078","$54,360"
215,GREEN ,"$25,304 ","$28,214 ","$29,583 ","$29,275 ","$29,235 ","$29,794 ","$30,809 ","$31,914 ","$32,431 ","$33,475 ","$33,285 ","$33,599 ","$34,336 ","$35,735","$37,078","$38,454 ","$38,975 ","$39,814 ","$43,530","$44,811","$45,268 ","$46,159 ","$46,933","$46,747","$46,935","$47,188","$47,283 ","$47,319 ","$47,155","$47,872","$48,189","$49,245","$49,787","$51,333","$52,457","$57,288"
221,GREENUP ,"$24,765 ","$27,527 ","$29,479 ","$29,738 ","$30,889 ","$31,587 ","$32,165 ","$32,371 ","$33,228 ","$34,385 ","$35,033 ","$35,845 ","$36,362 ","$37,150","$38,106","$38,330 ","$38,512 ","$39,169 ","$43,013","$43,665","$44,622 ","$44,652 ","$44,664","$44,622","$44,586","$45,828","$46,211 ","$47,281 ","$46,746","$47,130","$46,723","$46,914","$47,856","$49,069","$49,469","$51,063"
225,HANCK ,"$26,999 ","$29,519 ","$31,905 ","$31,026 ","$32,053 ","$31,877 ","$31,648 ","$32,208 ","$32,819 ","$33,760 ","$34,766 ","$35,645 ","$36,938 ","$38,245","$39,870","$41,273 ","$43,805 ","$44,639 ","$47,335","$47,851","$48,889 ","$47,504 ","$47,570","$47,956","$47,995","$48,606","$49,991 ","$50,244 ","$51,507","$51,508","$52,791","$54,658","$54,435","$56,322","$57,708","$58,672"
231,HARDIN ,"$25,750 ","$28,325 ","$29,922 ","$30,011 ","$30,687 ","$31,621 ","$32,163 ","$33,256 ","$33,908 ","$34,908 ","$36,591 ","$37,531 ","$38,707 ","$39,460","$41,328","$41,963 ","$43,551 ","$44,675 ","$48,555","$49,535","$49,917 ","$49,112 ","$49,145","$50,047","$50,751","$57,853","$52,329 ","$52,496 ","$52,779","$53,223","$53,896","$54,572","$55,590","$56,303","$57,421","$60,926"
235,HARLAN ,"$24,868 ","$27,935 ","$30,329 ","$30,669 ","$31,233 ","$32,053 ","$31,649 ","$32,345 ","$32,968 ","$34,233 ","$35,146 ","$35,845 ","$37,478 ","$38,610","$39,689","$41,105 ","$42,835 ","$43,211 ","$47,149","$48,207","$49,072 ","$48,466 ","$47,615","$47,942","$47,275","$46,940","$47,653 ","$47,472 ","$47,153","$47,485","$47,292","$47,245","$48,642","$50,494","$50,040","$52,802"
236,HARLAN,"$23,874 ","$27,292 ","$29,624 ","$30,258 ","$30,393 ","$31,615 ","$32,915 ","$33,427 ","$33,531 ","$33,375 ","$34,339 ","$36,206 ","$36,355 ","$37,401","$38,407","$40,171 ","$41,020 ","$42,862 ","$44,227","$45,271","$45,863 ","$44,904 ","$45,839","$46,095","$46,266","$48,165","$49,709 ","$48,342 ","$47,088","$47,017","$46,304","$48,255","$48,522","$47,969","$48,720","$54,010"
241,HARRISON ,"$24,360 ","$27,006 ","$29,155 ","$30,177 ","$30,697 ","$31,410 ","$32,085 ","$32,863 ","$33,190 ","$34,061 ","$34,739 ","$35,181 ","$35,828 ","$37,226","$38,852","$39,883 ","$41,392 ","$41,963 ","$45,704","$46,197","$46,655 ","$46,307 ","$46,867","$46,327","$46,686","$47,297","$48,374 ","$48,347 ","$49,742","$49,772","$50,856","$51,008","$51,761","$54,949","$55,386","$58,667"
242,HARRODSBURG,"$25,953 ","$27,794 ","$29,558 ","$29,419 ","$29,431 ","$30,249 ","$30,334 ","$30,400 ","$31,436 ","$31,227 ","$32,255 ","$33,456 ","$35,513 ","$37,582","$39,085","$40,933 ","$41,179 ", ,,,,,,,,,,,,,,,,,,
245,HART ,"$24,670 ","$27,131 ","$29,325 ","$29,109 ","$29,436 ","$30,811 ","$30,757 ","$32,014 ","$32,335 ","$34,037 ","$35,655 ","$36,359 ","$35,674 ","$36,489","$36,705","$38,415 ","$38,944 ","$39,722 ","$43,885","$44,935","$45,081 ","$45,813 ","$46,951","$46,554","$47,399","$48,389","$49,449 ","$49,917 ","$50,056","$49,395","$48,782","$49,759","$50,200","$50,888","$51,076","$53,292"
246,HAZARD,"$23,597 ","$26,864 ","$29,222 ","$30,861 ","$31,318 ","$32,074 ","$33,120 ","$35,016 ","$35,673 ","$36,959 ","$37,764 ","$38,590 ","$38,686 ","$40,118","$40,929","$42,105 ","$43,144 ","$44,272 ","$48,878","$49,127","$49,032 ","$47,238 ","$47,563","$46,855","$47,546","$47,377","$49,305 ","$49,584 ","$49,428","$50,781","$50,883","$51,403","$51,474","$52,754","$52,952","$55,600"
251,HENDERSON ,"$26,464 ","$29,076 ","$30,337 ","$30,641 ","$30,717 ","$31,964 ","$32,440 ","$33,503 ","$34,110 ","$33,978 ","$34,626 ","$35,628 ","$36,950 ","$37,903","$40,114","$41,103 ","$42,507 ","$42,513 ","$46,787","$46,192","$46,934 ","$46,424 ","$45,526","$46,172","$46,061","$46,687","$48,219 ","$48,672 ","$48,421","$49,307","$50,143","$51,250","$52,221","$54,733","$55,719","$57,307"
255,HENRY ,"$24,487 ","$27,065 ","$29,765 ","$29,831 ","$30,150 ","$31,481 ","$31,796 ","$33,030 ","$34,464 ","$35,848 ","$36,772 ","$37,019 ","$38,249 ","$39,513","$40,722","$42,044 ","$43,463 ","$43,603 ","$46,544","$46,734","$46,830 ","$44,683 ","$45,601","$46,128","$46,216","$47,254","$48,659 ","$48,170 ","$47,442","$48,049","$49,030","$49,647","$50,986","$51,164","$52,841","$54,460"
261,HICKMAN ,"$24,700 ","$26,891 ","$29,505 ","$30,382 ","$30,739 ","$30,951 ","$31,599 ","$32,104 ","$33,819 ","$34,992 ","$35,833 ","$36,734 ","$37,658 ","$37,719","$38,680","$38,589 ","$39,749 ","$40,649 ","$44,693","$44,539","$45,050 ","$43,951 ","$45,034","$45,823","$45,859","$46,245","$47,750 ","$47,668 ","$47,484","$46,701","$48,856","$49,610","$49,372","$49,352","$50,906","$51,210"
265,HOPKINS ,"$25,739 ","$28,656 ","$30,141 ","$30,302 ","$30,476 ","$31,540 ","$31,809 ","$32,529 ","$33,166 ","$33,672 ","$34,345 ","$35,382 ","$36,172 ","$37,263","$38,077","$39,328 ","$40,057 ","$40,491 ","$44,186","$44,281","$44,603 ","$43,735 ","$43,998","$44,579","$45,344","$46,209","$46,672 ","$46,469 ","$46,784","$46,945","$47,779","$48,835","$48,434","$50,337","$51,969","$55,050"
271,JACKSON ,"$23,511 ","$27,043 ","$28,502 ","$28,789 ","$30,936 ","$31,866 ","$32,781 ","$33,017 ","$32,998 ","$34,235 ","$35,439 ","$36,022 ","$36,710 ","$38,179","$39,909","$40,974 ","$42,413 ","$43,303 ","$47,447","$48,113","$48,012 ","$49,130 ","$48,733","$48,659","$49,165","$48,773","$49,370 ","$49,502 ","$49,525","$49,592","$49,970","$49,582","$49,160","$52,071","$51,560","$55,884"
272,JACKSON,"$24,177 ","$26,660 ","$26,658 ","$26,362 ","$28,143 ","$29,860 ","$30,243 ","$34,625 ","$31,601 ","$34,795 ","$35,360 ","$33,039 ","$34,812 ","$35,040","$36,070","$37,738 ","$40,743 ","$43,681 ","$47,687","$49,638","$48,877 ","$47,894 ","$48,646","$48,997","$48,782","$49,583","$50,660 ","$49,910 ","$49,986","$49,875","$48,176","$51,366","$55,015","$53,400","$54,196","$54,947"
275,JEFFERSON ,"$29,267 ","$31,971 ","$33,589 ","$33,557 ","$34,261 ","$35,391 ","$35,795 ","$36,448 ","$37,162 ","$38,843 ","$40,311 ","$41,914 ","$44,052 ","$45,701","$46,776","$47,959 ","$49,399 ","$51,287 ","$54,150","$55,087","$55,689 ","$56,129 ","$59,496","$60,029","$59,914","$60,307","$61,944 ","$62,225 ","$63,392","$64,279","$65,062","$65,216","$65,710","$69,140","$73,008","$74,577"
276,JENKINS,"$23,805 ","$27,899 ","$30,537 ","$31,488 ","$32,049 ","$31,209 ","$31,344 ","$32,490 ","$32,768 ","$34,135 ","$34,782 ","$35,126 ","$35,016 ","$35,446","$36,886","$38,933 ","$38,428 ","$38,580 ","$42,578","$43,619","$44,201 ","$43,328 ","$42,997","$42,110","$43,261","$44,475","$45,501 ","$45,885 ","$47,588","$47,572","$47,575","$49,493","$48,439","$48,242","$48,492","$52,949"
281,JESSAMINE ,"$24,407 ","$27,706 ","$29,160 ","$29,046 ","$29,765 ","$30,358 ","$30,747 ","$31,743 ","$32,493 ","$33,050 ","$34,008 ","$34,592 ","$36,227 ","$37,000","$38,127","$39,215 ","$39,983 ","$40,616 ","$43,780","$44,449","$45,295 ","$44,567 ","$45,651","$46,119","$45,604","$46,429","$48,142 ","$48,070 ","$48,071","$48,698","$50,362","$52,235","$53,450","$55,504","$59,132","$60,406"
285,JOHNSON ,"$24,442 ","$27,386 ","$29,502 ","$29,843 ","$29,672 ","$30,930 ","$32,030 ","$33,110 ","$34,482 ","$35,512 ","$36,236 ","$37,282 ","$38,305 ","$38,822","$40,573","$41,910 ","$43,465 ","$44,235 ","$48,048","$47,785","$49,019 ","$49,337 ","$48,939","$49,425","$49,465","$50,164","$51,557 ","$51,187 ","$51,270","$51,743","$52,574","$52,765","$52,318","$53,385","$53,180","$55,264"
291,KENTON ,"$26,109 ","$28,707 ","$30,321 ","$31,545 ","$32,365 ","$33,454 ","$33,665 ","$34,146 ","$34,927 ","$35,516 ","$36,146 ","$37,553 ","$39,441 ","$40,638","$41,857","$43,424 ","$44,605 ","$45,195 ","$48,327","$49,264","$49,342 ","$48,823 ","$49,312","$50,562","$51,541","$52,457","$53,337 ","$54,034 ","$54,693","$55,090","$56,062","$56,621","$57,168","$59,847","$61,626","$64,899"
295,KNOTT ,"$24,029 ","$27,927 ","$29,749 ","$29,477 ","$29,656 ","$31,203 ","$32,079 ","$34,028 ","$35,035 ","$35,847 ","$37,368 ","$39,188 ","$40,908 ","$42,302","$42,885","$44,830 ","$45,633 ","$47,420 ","$51,337","$51,613","$50,940 ","$49,556 ","$50,218","$49,773","$49,484","$49,957","$50,928 ","$50,809 ","$50,838","$50,000","$50,128","$49,928","$50,899","$51,470","$53,684","$56,330"
301,KNOX ,"$25,523 ","$29,410 ","$30,677 ","$31,423 ","$31,611 ","$32,456 ","$32,875 ","$34,358 ","$35,136 ","$35,766 ","$35,492 ","$36,451 ","$37,344 ","$38,041","$39,168","$39,887 ","$40,905 ","$42,109 ","$46,603","$47,693","$47,940 ","$47,016 ","$46,377","$46,537","$46,403","$46,918","$47,831 ","$47,854 ","$49,391","$49,740","$49,595","$50,429","$49,875","$51,574","$51,143","$53,393"
305,LARUE ,"$26,364 ","$29,191 ","$30,624 ","$30,012 ","$30,572 ","$30,907 ","$30,630 ","$31,579 ","$32,054 ","$32,402 ","$34,149 ","$35,742 ","$37,453 ","$38,828","$40,540","$40,948 ","$43,693 ","$44,845 ","$48,890","$49,713","$50,393 ","$49,636 ","$50,174","$50,407","$50,260","$51,514","$53,552 ","$53,672 ","$53,918","$54,646","$54,737","$56,054","$55,307","$56,561","$58,157","$61,342"
311,LAUREL ,"$24,607 ","$27,086 ","$30,002 ","$30,631 ","$31,030 ","$31,926 ","$33,242 ","$34,695 ","$35,824 ","$36,560 ","$36,972 ","$37,923 ","$38,374 ","$39,400","$40,525","$41,798 ","$43,159 ","$44,966 ","$48,494","$48,045","$49,380 ","$49,028 ","$48,911","$49,185","$49,078","$49,565","$50,526 ","$50,954 ","$51,294","$51,408","$51,248","$51,961","$52,766","$56,346","$56,846","$57,828"
315,LAWRENCE ,"$23,834 ","$26,888 ","$28,519 ","$28,791 ","$29,385 ","$29,911 ","$30,090 ","$30,934 ","$31,992 ","$33,143 ","$34,008 ","$34,662 ","$35,356 ","$36,465","$37,630","$39,656 ","$41,152 ","$41,262 ","$45,228","$45,896","$45,619 ","$44,890 ","$44,442","$44,299","$44,949","$45,538","$46,414 ","$46,738 ","$46,837","$47,322","$48,023","$48,267","$48,513","$49,469","$49,725","$53,340"
321,LEE ,"$23,934 ","$27,496 ","$28,944 ","$29,313 ","$29,684 ","$30,691 ","$31,607 ","$32,972 ","$33,388 ","$33,519 ","$34,197 ","$34,867 ","$35,716 ","$36,678","$38,267","$39,752 ","$41,640 ","$42,798 ","$46,672","$47,683","$48,049 ","$47,577 ","$47,355","$47,865","$48,463","$49,508","$50,444 ","$50,554 ","$50,401","$49,996","$49,391","$48,544","$46,683","$49,111","$49,034","$49,892"
325,LESLIE ,"$24,504 ","$27,963 ","$29,447 ","$30,073 ","$29,712 ","$30,978 ","$30,685 ","$32,589 ","$34,044 ","$35,115 ","$36,109 ","$37,222 ","$38,472 ","$39,997","$41,171","$42,463 ","$43,360 ","$44,632 ","$48,763","$48,791","$49,937 ","$48,416 ","$47,879","$48,083","$48,099","$49,686","$50,088 ","$49,485 ","$49,552","$49,729","$49,435","$49,946","$48,897","$48,665","$50,066","$51,199"
331,LETCHER ,"$24,681 ","$28,486 ","$30,326 ","$31,387 ","$31,040 ","$31,846 ","$32,767 ","$33,873 ","$34,411 ","$35,499 ","$36,211 ","$36,357 ","$37,353 ","$38,029","$39,744","$41,494 ","$43,539 ","$44,863 ","$49,019","$49,819","$49,696 ","$48,993 ","$48,937","$48,575","$48,298","$48,532","$49,424 ","$48,962 ","$48,978","$49,868","$49,600","$49,907","$50,803","$52,195","$53,800","$56,360"
335,LEWIS ,"$24,670 ","$27,659 ","$29,849 ","$29,450 ","$29,723 ","$30,503 ","$31,179 ","$32,083 ","$31,979 ","$32,909 ","$33,039 ","$34,792 ","$35,853 ","$36,341","$37,632","$38,532 ","$39,451 ","$40,008 ","$44,003","$44,444","$45,566 ","$45,948 ","$45,958","$46,492","$46,190","$46,563","$47,685 ","$48,010 ","$47,910","$47,788","$48,309","$48,473","$48,418","$49,347","$50,596","$52,053"
341,LINLN ,"$25,203 ","$27,499 ","$29,111 ","$29,925 ","$29,583 ","$29,991 ","$29,967 ","$30,875 ","$31,765 ","$32,788 ","$33,064 ","$33,433 ","$35,193 ","$36,098","$37,736","$39,183 ","$40,064 ","$41,080 ","$44,684","$45,759","$46,665 ","$46,145 ","$45,745","$46,035","$46,591","$47,246","$48,148 ","$47,950 ","$47,699","$47,906","$48,286","$48,602","$48,138","$50,045","$51,012","$53,902"
345,LIVINGSTON ,"$24,233 ","$26,989 ","$28,785 ","$28,936 ","$29,136 ","$30,850 ","$31,200 ","$31,616 ","$31,759 ","$33,119 ","$34,105 ","$33,761 ","$35,273 ","$36,108","$36,560","$39,100 ","$40,937 ","$41,897 ","$45,921","$46,574","$46,928 ","$46,845 ","$46,502","$46,788","$47,202","$47,233","$48,460 ","$49,345 ","$51,009","$51,554","$52,967","$53,129","$54,525","$55,617","$56,516","$58,688"
351,LOGAN ,"$24,765 ","$27,265 ","$28,888 ","$29,328 ","$29,910 ","$30,529 ","$31,082 ","$31,983 ","$32,562 ","$33,604 ","$34,471 ","$34,639 ","$35,613 ","$36,452","$38,022","$39,152 ","$40,765 ","$41,711 ","$44,589","$44,644","$45,590 ","$45,421 ","$45,525","$45,780","$45,969","$46,168","$47,499 ","$47,329 ","$47,714","$47,728","$48,055","$48,311","$47,943","$48,772","$51,220","$53,727"
354,LUDLOW,"$25,931 ","$29,403 ","$31,126 ","$31,642 ","$32,494 ","$33,187 ","$33,849 ","$35,104 ","$35,570 ","$36,724 ","$37,862 ","$38,980 ","$38,006 ","$39,890","$40,911","$43,709 ","$45,845 ","$47,421 ","$53,056","$52,163","$52,588 ","$51,588 ","$50,134","$51,199","$50,973","$52,421","$53,245 ","$55,889 ","$55,015","$56,065","$55,820","$58,193","$56,852","$57,336","$59,906","$62,492"
361,LYON ,"$25,110 ","$27,998 ","$28,834 ","$28,435 ","$29,394 ","$29,663 ","$30,568 ","$31,737 ","$32,434 ","$32,912 ","$34,267 ","$32,577 ","$34,177 ","$35,329","$37,487","$39,424 ","$40,414 ","$40,969 ","$44,806","$45,802","$47,528 ","$46,162 ","$46,496","$46,202","$46,740","$47,721","$48,237 ","$48,167 ","$48,561","$50,048","$51,280","$52,041","$53,024","$54,614","$54,501","$56,641"
365,MADISON ,"$25,699 ","$27,937 ","$30,820 ","$30,761 ","$31,450 ","$32,617 ","$33,413 ","$34,618 ","$35,803 ","$36,467 ","$37,424 ","$37,760 ","$38,462 ","$39,444","$40,809","$41,571 ","$42,565 ","$43,064 ","$46,832","$47,358","$48,574 ","$48,320 ","$48,338","$48,121","$48,308","$48,751","$49,987 ","$50,182 ","$50,616","$50,447","$50,984","$51,824","$53,199","$54,622","$56,668","$60,321"
371,MAGOFFIN ,"$24,209 ","$26,302 ","$28,881 ","$30,148 ","$30,703 ","$31,386 ","$33,148 ","$34,412 ","$34,524 ","$34,960 ","$34,661 ","$35,231 ","$36,070 ","$36,786","$38,701","$39,970 ","$41,892 ","$43,271 ","$46,905","$48,052","$48,543 ","$48,390 ","$50,513","$50,121","$49,054","$49,479","$49,688 ","$49,475 ","$49,408","$49,512","$49,842","$49,622","$48,666","$49,768","$50,076","$51,294"
375,MARION ,"$25,208 ","$27,889 ","$29,098 ","$29,285 ","$29,764 ","$30,916 ","$31,038 ","$31,845 ","$32,676 ","$34,048 ","$35,288 ","$36,316 ","$37,067 ","$37,990","$39,234","$40,697 ","$41,882 ","$43,376 ","$46,778","$47,679","$48,784 ","$48,347 ","$48,019","$49,009","$49,897","$49,865","$50,436 ","$50,916 ","$51,417","$51,808","$52,576","$53,015","$55,436","$56,373","$58,630","$61,831"
381,MARSHALL ,"$26,015 ","$28,579 ","$30,276 ","$30,424 ","$30,642 ","$31,833 ","$31,788 ","$32,981 ","$33,831 ","$34,303 ","$35,497 ","$36,556 ","$37,887 ","$39,475","$41,335","$42,230 ","$43,938 ","$44,762 ","$48,056","$48,745","$49,465 ","$48,249 ","$48,265","$48,465","$49,653","$50,193","$51,933 ","$51,787 ","$53,042","$52,999","$54,067","$55,941","$57,055","$58,695","$58,706","$60,651"
385,MARTIN ,"$23,393 ","$27,030 ","$29,795 ","$29,364 ","$29,846 ","$30,432 ","$30,964 ","$34,171 ","$34,414 ","$35,396 ","$36,004 ","$36,790 ","$38,104 ","$39,190","$40,735","$41,805 ","$42,815 ","$43,934 ","$47,627","$47,144","$46,950 ","$45,947 ","$46,410","$46,895","$46,888","$47,779","$47,221 ","$47,845 ","$47,445","$48,560","$48,698","$50,293","$49,052","$51,176","$51,415","$51,931"
391,MASON ,"$26,887 ","$29,812 ","$31,556 ","$33,367 ","$35,076 ","$36,771 ","$38,083 ","$39,031 ","$39,660 ","$40,702 ","$40,796 ","$40,056 ","$40,928 ","$42,227","$42,604","$43,872 ","$44,560 ","$45,350 ","$49,183","$49,766","$50,789 ","$49,646 ","$50,708","$50,760","$51,069","$51,772","$52,109 ","$52,921 ","$52,825","$52,983","$54,372","$55,482","$55,493","$56,149","$56,003","$58,985"
