AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
031,BELL ,"$25,188 ","$29,650 ","$31,701 ","$31,787 ","$32,040 ","$32,205 ","$33,197 ","$33,700 ","$32,860 ","$33,346 ","$34,761 ","$34,553 ","$36,097 ","$36,250","$37,405","$39,068 ","$40,902 ","$42,366 ","$46,111","$47,569","$48,689 ","$48,394 ","$47,815","$47,709","$47,616","$47,805","$48,261 ","$48,715 ","$49,144","$48,612","$49,027","$50,147","$50,200","$52,225","$54,286","$56,641"
032,BELLEVUE,"$26,827 ","$28,784 ","$30,317 ","$30,997 ","$31,854 ","$32,928 ","$33,137 ","$34,650 ","$34,446 ","$32,724 ","$34,291 ","$33,918 ","$34,927 ","$35,275","$37,542","$39,169 ","$41,060 ","$43,158 ","$46,428","$46,102","$45,457 ","$44,449 ","$44,771","$44,927","$45,480","$46,493","$47,220 ","$48,276 ","$48,129","$47,208","$47,791","$47,372","$47,632","$51,721","$52,215","$55,159"
034,BEREA,"$25,777 ","$27,930 ","$29,364 ","$29,611 ","$30,810 ","$30,982 ","$31,817 ","$32,011 ","$32,280 ","$33,905 ","$34,295 ","$36,339 ","$37,250 ","$37,669","$39,239","$38,957 ","$40,075 ","$41,628 ","$45,017","$46,500","$47,539 ","$46,416 ","$47,423","$46,921","$47,197","$47,541","$49,245 ","$49,608 ","$50,667","$50,454","$50,973","$52,146","$54,274","$55,506","$57,553","$60,631"
035,BOONE ,"$27,141 ","$29,687 ","$31,394 ","$31,595 ","$32,608 ","$32,319 ","$33,790 ","$34,687 ","$35,801 ","$35,303 ","$37,073 ","$38,002 ","$39,398 ","$40,117","$41,438","$42,429 ","$43,425 ","$44,960 ","$48,181","$48,670","$49,674 ","$49,547 ","$50,248","$50,448","$50,947","$51,295","$52,201 ","$52,927 ","$53,681","$54,749","$55,585","$56,347","$57,535","$59,765","$61,881","$65,149"
041,BOURBON ,"$26,198 ","$28,852 ","$31,573 ","$31,286 ","$31,886 ","$32,217 ","$32,569 ","$33,708 ","$35,521 ","$35,649 ","$36,574 ","$37,096 ","$37,593 ","$36,976","$39,008","$40,002 ","$41,358 ","$42,189 ","$45,892","$46,043","$46,110 ","$45,152 ","$45,492","$45,985","$45,978","$45,360","$46,495 ","$46,618 ","$46,870","$46,894","$47,954","$48,018","$50,449","$51,897","$52,164","$54,444"
042,BOWLING GREEN,"$26,626 ","$29,470 ","$31,526 ","$31,666 ","$32,190 ","$32,876 ","$33,454 ","$34,344 ","$34,924 ","$35,181 ","$35,460 ","$36,117 ","$37,423 ","$38,534","$40,387","$41,690 ","$42,963 ","$43,815 ","$47,259","$47,923","$48,630 ","$47,505 ","$48,188","$48,517","$48,468","$48,898","$50,142 ","$49,797 ","$49,824","$50,918","$51,552","$52,755","$53,782","$54,727","$57,141","$60,213"
045,BOYD ,"$26,338 ","$29,671 ","$31,408 ","$32,026 ","$33,006 ","$33,434 ","$33,472 ","$34,823 ","$35,819 ","$36,593 ","$36,898 ","$37,064 ","$37,812 ","$39,017","$39,005","$40,054 ","$41,007 ","$42,467 ","$46,112","$47,075","$47,834 ","$47,309 ","$47,257","$46,948","$47,447","$46,518","$47,840 ","$46,979 ","$48,507","$49,970","$50,301","$51,477","$52,462","$54,762","$56,577","$58,095"
051,BOYLE ,"$25,540 ","$28,246 ","$30,259 ","$30,538 ","$31,266 ","$31,641 ","$32,319 ","$32,966 ","$34,425 ","$35,524 ","$36,187 ","$36,916 ","$37,847 ","$39,224","$40,019","$41,261 ","$42,517 ","$43,417 ","$47,655","$48,637","$49,223 ","$48,887 ","$48,563","$49,041","$49,127","$49,159","$49,998 ","$49,663 ","$50,552","$50,997","$52,595","$52,386","$55,179","$58,640","$58,746","$61,396"
055,BRACKEN ,"$26,408 ","$28,845 ","$29,733 ","$29,723 ","$29,843 ","$30,258 ","$31,162 ","$32,038 ","$34,296 ","$35,437 ","$36,036 ","$37,136 ","$37,491 ","$37,344","$38,918","$39,859 ","$41,831 ","$42,001 ","$45,570","$46,312","$47,345 ","$46,030 ","$46,857","$46,466","$47,643","$47,485","$48,892 ","$47,891 ","$47,700","$49,455","$49,086","$50,349","$49,056","$50,262","$50,937","$54,158"
061,BREATHITT ,"$24,965 ","$28,680 ","$31,059 ","$31,421 ","$32,760 ","$33,484 ","$34,177 ","$35,295 ","$34,085 ","$35,380 ","$35,506 ","$36,643 ","$38,148 ","$39,472","$40,720","$41,911 ","$43,013 ","$43,933 ","$48,185","$48,464","$49,268 ","$50,142 ","$51,526","$51,607","$52,493","$52,909","$53,339 ","$53,315 ","$53,044","$52,867","$53,430","$52,951","$51,384","$51,611","$53,495","$54,162"
